Latitude_back72hr_30m[][0] Latitude_back72hr_30m[][1] Latitude_back72hr_30m[][2] Latitude_back72hr_30m[][3] Latitude_back72hr_30m[][4] Latitude_back72hr_30m[][5] Latitude_back72hr_30m[][6] Latitude_back72hr_30m[][7] Latitude_back72hr_30m[][8] Latitude_back72hr_30m[][9] Latitude_back72hr_30m[][10] Latitude_back72hr_30m[][11] Latitude_back72hr_30m[][12] Latitude_back72hr_30m[][13] Latitude_back72hr_30m[][14] Latitude_back72hr_30m[][15] Latitude_back72hr_30m[][16] Latitude_back72hr_30m[][17] Latitude_back72hr_30m[][18] Latitude_back72hr_30m[][19] Latitude_back72hr_30m[][20] Latitude_back72hr_30m[][21] Latitude_back72hr_30m[][22] Latitude_back72hr_30m[][23] Latitude_back72hr_30m[][24] Latitude_back72hr_30m[][25] Latitude_back72hr_30m[][26] Latitude_back72hr_30m[][27] Latitude_back72hr_30m[][28] Latitude_back72hr_30m[][29] Latitude_back72hr_30m[][30] Latitude_back72hr_30m[][31] Latitude_back72hr_30m[][32] Latitude_back72hr_30m[][33] Latitude_back72hr_30m[][34] Latitude_back72hr_30m[][35] Latitude_back72hr_30m[][36] Latitude_back72hr_30m[][37] Latitude_back72hr_30m[][38] Latitude_back72hr_30m[][39] Latitude_back72hr_30m[][40] Latitude_back72hr_30m[][41] Latitude_back72hr_30m[][42] Latitude_back72hr_30m[][43] Latitude_back72hr_30m[][44] Latitude_back72hr_30m[][45] Latitude_back72hr_30m[][46] Latitude_back72hr_30m[][47] Latitude_back72hr_30m[][48] Latitude_back72hr_30m[][49] Latitude_back72hr_30m[][50] Latitude_back72hr_30m[][51] Latitude_back72hr_30m[][52] Latitude_back72hr_30m[][53] Latitude_back72hr_30m[][54] Latitude_back72hr_30m[][55] Latitude_back72hr_30m[][56] Latitude_back72hr_30m[][57] Latitude_back72hr_30m[][58] Latitude_back72hr_30m[][59] Latitude_back72hr_30m[][60] Latitude_back72hr_30m[][61] Latitude_back72hr_30m[][62] Latitude_back72hr_30m[][63] Latitude_back72hr_30m[][64] Latitude_back72hr_30m[][65] Latitude_back72hr_30m[][66] Latitude_back72hr_30m[][67] Latitude_back72hr_30m[][68] Latitude_back72hr_30m[][69] Latitude_back72hr_30m[][70] Latitude_back72hr_30m[][71] Latitude_back72hr_30m[][72]
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
40.8 40.719 40.643 40.582 40.539 40.519 40.522 40.541 40.557 40.558 40.542 40.507 40.449 40.361 40.256 40.15 40.046 39.944 39.838 39.722 39.604 39.493 39.389 39.292 39.2 39.115 39.038 38.967 38.902 38.843 38.79 38.741 38.688 38.62 38.539 38.445 38.341 38.232 38.132 38.052 37.985 37.929 37.881 37.838 37.801 37.77 37.745 37.729 37.722 37.725 37.733 37.739 37.744 37.748 37.749 37.748 37.742 37.731 37.712 37.686 37.653 37.613 37.57 37.53 37.496 37.467 37.441 37.42 37.4 37.38 37.356 37.329 37.297
40.8 40.724 40.647 40.575 40.52 40.487 40.475 40.48 40.498 40.512 40.511 40.492 40.452 40.385 40.287 40.171 40.055 39.943 39.83 39.711 39.579 39.439 39.299 39.164 39.038 38.923 38.821 38.729 38.641 38.554 38.467 38.38 38.293 38.196 38.08 37.947 37.798 37.632 37.45 37.266 37.093 36.929 36.774 36.626 36.481 36.342 36.21 36.084 35.963 35.845 35.728 35.61 35.493 35.382 35.274 35.169 35.066 34.955 34.825 34.679 34.515 34.335 34.142 33.95 33.769 33.599 33.435 33.277 33.121 32.968 32.819 32.679 32.551
40.8 40.729 40.661 40.588 40.522 40.475 40.45 40.441 40.446 40.463 40.476 40.472 40.448 40.397 40.317 40.205 40.076 39.949 39.825 39.697 39.56 39.409 39.251 39.097 38.952 38.819 38.702 38.596 38.493 38.39 38.286 38.183 38.081 37.981 37.872 37.746 37.603 37.442 37.264 37.07 36.872 36.687 36.512 36.346 36.187 36.032 35.88 35.733 35.588 35.451 35.322 35.2 35.083 34.97 34.858 34.747 34.634 34.519 34.392 34.248 34.089 33.915 33.731 33.536 33.341 33.155 32.977 32.804 32.636 32.472 32.313 32.162 32.019
40.8 40.734 40.674 40.611 40.544 40.486 40.447 40.424 40.417 40.423 40.439 40.45 40.439 40.402 40.336 40.24 40.11 39.967 39.831 39.692 39.547 39.388 39.215 39.037 38.869 38.717 38.58 38.453 38.333 38.215 38.096 37.978 37.862 37.747 37.635 37.516 37.379 37.224 37.051 36.863 36.66 36.456 36.264 36.082 35.907 35.738 35.574 35.417 35.273 35.139 35.015 34.897 34.784 34.671 34.554 34.434 34.307 34.175 34.038 33.891 33.732 33.56 33.379 33.187 32.986 32.785 32.592 32.411 32.238 32.072 31.909 31.75 31.596
40.8 40.739 40.688 40.636 40.58 40.521 40.468 40.432 40.412 40.406 40.412 40.427 40.429 40.404 40.351 40.267 40.15 40.008 39.86 39.713 39.561 39.398 39.22 39.031 38.846 38.676 38.519 38.373 38.236 38.105 37.976 37.846 37.716 37.586 37.457 37.328 37.192 37.037 36.867 36.684 36.488 36.278 36.067 35.866 35.672 35.487 35.312 35.15 34.999 34.859 34.726 34.6 34.477 34.353 34.224 34.084 33.937 33.786 33.631 33.474 33.308 33.13 32.942 32.743 32.538 32.331 32.133 31.951 31.781 31.619 31.46 31.3 31.141
40.8 40.744 40.703 40.662 40.618 40.57 40.516 40.467 40.433 40.415 40.411 40.414 40.419 40.407 40.365 40.291 40.187 40.061 39.917 39.765 39.609 39.442 39.266 39.084 38.895 38.709 38.533 38.366 38.209 38.059 37.916 37.774 37.629 37.483 37.335 37.187 37.041 36.892 36.73 36.556 36.367 36.162 35.938 35.71 35.49 35.284 35.092 34.915 34.751 34.6 34.46 34.329 34.204 34.084 33.962 33.833 33.694 33.548 33.395 33.237 33.071 32.895 32.708 32.513 32.318 32.124 31.931 31.747 31.578 31.419 31.266 31.115 30.965
40.8 40.732 40.659 40.558 40.457 40.374 40.289 40.227 40.175 40.142 40.124 40.124 40.14 40.17 40.196 40.199 40.173 40.118 40.032 39.913 39.78 39.651 39.521 39.385 39.237 39.075 38.909 38.752 38.609 38.481 38.365 38.258 38.154 38.049 37.946 37.844 37.746 37.651 37.549 37.429 37.291 37.135 36.962 36.776 36.587 36.409 36.238 36.074 35.914 35.756 35.601 35.456 35.322 35.2 35.087 34.983 34.881 34.778 34.673 34.564 34.449 34.329 34.196 34.046 33.883 33.708 33.522 33.325 33.128 32.939 32.757 32.581 32.411
40.8 40.736 40.668 40.594 40.493 40.393 40.31 40.229 40.17 40.121 40.089 40.074 40.076 40.094 40.13 40.159 40.163 40.137 40.082 39.995 39.875 39.741 39.613 39.483 39.346 39.198 39.034 38.866 38.709 38.566 38.437 38.322 38.216 38.114 38.01 37.908 37.806 37.708 37.612 37.508 37.386 37.246 37.088 36.915 36.727 36.538 36.358 36.187 36.022 35.861 35.701 35.547 35.403 35.272 35.152 35.042 34.94 34.84 34.738 34.632 34.522 34.406 34.283 34.148 33.996 33.832 33.655 33.468 33.27 33.072 32.882 32.698 32.521
40.8 40.741 40.678 40.609 40.534 40.433 40.336 40.254 40.178 40.121 40.074 40.043 40.028 40.031 40.052 40.089 40.121 40.124 40.098 40.04 39.95 39.829 39.695 39.566 39.436 39.297 39.145 38.978 38.808 38.649 38.506 38.377 38.26 38.154 38.051 37.947 37.843 37.741 37.641 37.544 37.438 37.315 37.173 37.014 36.84 36.652 36.462 36.281 36.109 35.943 35.78 35.619 35.465 35.324 35.196 35.078 34.971 34.87 34.77 34.667 34.559 34.446 34.327 34.2 34.06 33.906 33.74 33.562 33.373 33.174 32.974 32.783 32.599
