Longitude_back72hr_30m[][0] Longitude_back72hr_30m[][1] Longitude_back72hr_30m[][2] Longitude_back72hr_30m[][3] Longitude_back72hr_30m[][4] Longitude_back72hr_30m[][5] Longitude_back72hr_30m[][6] Longitude_back72hr_30m[][7] Longitude_back72hr_30m[][8] Longitude_back72hr_30m[][9] Longitude_back72hr_30m[][10] Longitude_back72hr_30m[][11] Longitude_back72hr_30m[][12] Longitude_back72hr_30m[][13] Longitude_back72hr_30m[][14] Longitude_back72hr_30m[][15] Longitude_back72hr_30m[][16] Longitude_back72hr_30m[][17] Longitude_back72hr_30m[][18] Longitude_back72hr_30m[][19] Longitude_back72hr_30m[][20] Longitude_back72hr_30m[][21] Longitude_back72hr_30m[][22] Longitude_back72hr_30m[][23] Longitude_back72hr_30m[][24] Longitude_back72hr_30m[][25] Longitude_back72hr_30m[][26] Longitude_back72hr_30m[][27] Longitude_back72hr_30m[][28] Longitude_back72hr_30m[][29] Longitude_back72hr_30m[][30] Longitude_back72hr_30m[][31] Longitude_back72hr_30m[][32] Longitude_back72hr_30m[][33] Longitude_back72hr_30m[][34] Longitude_back72hr_30m[][35] Longitude_back72hr_30m[][36] Longitude_back72hr_30m[][37] Longitude_back72hr_30m[][38] Longitude_back72hr_30m[][39] Longitude_back72hr_30m[][40] Longitude_back72hr_30m[][41] Longitude_back72hr_30m[][42] Longitude_back72hr_30m[][43] Longitude_back72hr_30m[][44] Longitude_back72hr_30m[][45] Longitude_back72hr_30m[][46] Longitude_back72hr_30m[][47] Longitude_back72hr_30m[][48] Longitude_back72hr_30m[][49] Longitude_back72hr_30m[][50] Longitude_back72hr_30m[][51] Longitude_back72hr_30m[][52] Longitude_back72hr_30m[][53] Longitude_back72hr_30m[][54] Longitude_back72hr_30m[][55] Longitude_back72hr_30m[][56] Longitude_back72hr_30m[][57] Longitude_back72hr_30m[][58] Longitude_back72hr_30m[][59] Longitude_back72hr_30m[][60] Longitude_back72hr_30m[][61] Longitude_back72hr_30m[][62] Longitude_back72hr_30m[][63] Longitude_back72hr_30m[][64] Longitude_back72hr_30m[][65] Longitude_back72hr_30m[][66] Longitude_back72hr_30m[][67] Longitude_back72hr_30m[][68] Longitude_back72hr_30m[][69] Longitude_back72hr_30m[][70] Longitude_back72hr_30m[][71] Longitude_back72hr_30m[][72]
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
-74 -74.332 -74.718 -75.103 -75.483 -75.856 -76.228 -76.604 -76.984 -77.361 -77.732 -78.092 -78.447 -78.8 -79.139 -79.457 -79.757 -80.04 -80.304 -80.54 -80.744 -80.919 -81.072 -81.208 -81.332 -81.445 -81.548 -81.641 -81.728 -81.808 -81.885 -81.963 -82.038 -82.097 -82.135 -82.148 -82.14 -82.117 -82.088 -82.053 -82.009 -81.955 -81.891 -81.817 -81.743 -81.675 -81.612 -81.554 -81.503 -81.458 -81.421 -81.39 -81.366 -81.347 -81.332 -81.322 -81.32 -81.326 -81.34 -81.362 -81.389 -81.419 -81.452 -81.489 -81.529 -81.575 -81.627 -81.686 -81.742 -81.786 -81.821 -81.848 -81.868
-74 -74.335 -74.731 -75.108 -75.48 -75.846 -76.208 -76.574 -76.945 -77.318 -77.687 -78.05 -78.41 -78.772 -79.132 -79.478 -79.803 -80.109 -80.392 -80.65 -80.885 -81.096 -81.285 -81.454 -81.604 -81.739 -81.861 -81.978 -82.097 -82.213 -82.322 -82.424 -82.517 -82.597 -82.66 -82.711 -82.757 -82.805 -82.863 -82.922 -82.963 -82.976 -82.96 -82.919 -82.863 -82.812 -82.781 -82.77 -82.777 -82.805 -82.856 -82.92 -82.983 -83.042 -83.098 -83.153 -83.209 -83.27 -83.337 -83.405 -83.468 -83.519 -83.547 -83.561 -83.571 -83.578 -83.58 -83.578 -83.571 -83.557 -83.535 -83.505 -83.465
-74 -74.339 -74.761 -75.147 -75.511 -75.869 -76.223 -76.58 -76.943 -77.309 -77.675 -78.038 -78.402 -78.771 -79.143 -79.514 -79.871 -80.202 -80.505 -80.781 -81.032 -81.259 -81.463 -81.645 -81.807 -81.953 -82.084 -82.202 -82.312 -82.416 -82.513 -82.604 -82.689 -82.766 -82.833 -82.89 -82.944 -83.001 -83.069 -83.159 -83.243 -83.292 -83.311 -83.305 -83.283 -83.252 -83.233 -83.238 -83.267 -83.314 -83.374 -83.45 -83.535 -83.621 -83.708 -83.798 -83.893 -83.995 -84.098 -84.192 -84.271 -84.325 -84.352 -84.355 -84.348 -84.34 -84.331 -84.318 -84.3 -84.272 -84.228 -84.169 -84.098
-74 -74.343 -74.79 -75.203 -75.577 -75.927 -76.274 -76.626 -76.984 -77.345 -77.706 -78.067 -78.434 -78.809 -79.191 -79.575 -79.959 -80.321 -80.648 -80.945 -81.216 -81.46 -81.678 -81.871 -82.042 -82.196 -82.332 -82.451 -82.55 -82.64 -82.725 -82.806 -82.882 -82.953 -83.019 -83.081 -83.14 -83.205 -83.282 -83.369 -83.462 -83.542 -83.59 -83.616 -83.625 -83.628 -83.631 -83.64 -83.659 -83.689 -83.735 -83.799 -83.883 -83.982 -84.088 -84.201 -84.323 -84.455 -84.592 -84.711 -84.796 -84.851 -84.88 -84.887 -84.878 -84.861 -84.84 -84.81 -84.767 -84.711 -84.64 -84.556 -84.46
-74 -74.347 -74.819 -75.258 -75.66 -76.021 -76.365 -76.715 -77.072 -77.431 -77.79 -78.151 -78.521 -78.903 -79.294 -79.691 -80.088 -80.47 -80.821 -81.139 -81.429 -81.692 -81.928 -82.134 -82.316 -82.477 -82.62 -82.742 -82.845 -82.93 -83.007 -83.084 -83.159 -83.233 -83.307 -83.38 -83.454 -83.534 -83.62 -83.709 -83.799 -83.887 -83.96 -84.008 -84.043 -84.069 -84.084 -84.089 -84.092 -84.108 -84.141 -84.193 -84.271 -84.378 -84.508 -84.649 -84.79 -84.92 -85.035 -85.134 -85.213 -85.27 -85.308 -85.331 -85.34 -85.33 -85.302 -85.26 -85.205 -85.137 -85.056 -84.96 -84.851
-74 -74.35 -74.848 -75.313 -75.742 -76.136 -76.499 -76.853 -77.212 -77.574 -77.937 -78.303 -78.678 -79.068 -79.47 -79.882 -80.288 -80.675 -81.039 -81.377 -81.686 -81.968 -82.221 -82.444 -82.639 -82.811 -82.963 -83.095 -83.208 -83.302 -83.381 -83.454 -83.53 -83.609 -83.691 -83.776 -83.865 -83.958 -84.051 -84.144 -84.233 -84.319 -84.399 -84.466 -84.516 -84.548 -84.562 -84.558 -84.537 -84.516 -84.513 -84.533 -84.581 -84.662 -84.774 -84.899 -85.018 -85.127 -85.225 -85.314 -85.395 -85.463 -85.512 -85.542 -85.552 -85.537 -85.499 -85.444 -85.377 -85.301 -85.215 -85.114 -84.995
-74 -74.139 -74.269 -74.578 -74.922 -75.237 -75.504 -75.843 -76.153 -76.465 -76.781 -77.101 -77.42 -77.738 -78.056 -78.384 -78.725 -79.076 -79.433 -79.792 -80.139 -80.459 -80.751 -81.017 -81.258 -81.473 -81.663 -81.833 -81.985 -82.117 -82.227 -82.318 -82.4 -82.478 -82.551 -82.621 -82.686 -82.748 -82.804 -82.859 -82.916 -82.985 -83.067 -83.157 -83.236 -83.283 -83.305 -83.307 -83.297 -83.283 -83.281 -83.296 -83.322 -83.361 -83.415 -83.488 -83.572 -83.662 -83.757 -83.859 -83.97 -84.091 -84.212 -84.314 -84.387 -84.431 -84.448 -84.443 -84.427 -84.41 -84.389 -84.361 -84.321
-74 -74.139 -74.269 -74.403 -74.717 -75.063 -75.381 -75.645 -75.97 -76.27 -76.573 -76.882 -77.194 -77.506 -77.814 -78.127 -78.451 -78.79 -79.139 -79.494 -79.853 -80.199 -80.517 -80.809 -81.076 -81.316 -81.531 -81.72 -81.89 -82.039 -82.168 -82.275 -82.362 -82.44 -82.517 -82.59 -82.661 -82.729 -82.794 -82.855 -82.915 -82.98 -83.056 -83.144 -83.239 -83.321 -83.371 -83.394 -83.396 -83.387 -83.375 -83.374 -83.386 -83.409 -83.447 -83.5 -83.572 -83.657 -83.747 -83.844 -83.949 -84.064 -84.189 -84.313 -84.414 -84.483 -84.521 -84.534 -84.523 -84.502 -84.479 -84.452 -84.418
-74 -74.138 -74.267 -74.401 -74.537 -74.856 -75.204 -75.524 -75.783 -76.099 -76.391 -76.69 -76.995 -77.302 -77.609 -77.912 -78.22 -78.543 -78.881 -79.23 -79.586 -79.945 -80.29 -80.607 -80.897 -81.162 -81.4 -81.612 -81.799 -81.965 -82.111 -82.235 -82.338 -82.42 -82.494 -82.567 -82.638 -82.707 -82.775 -82.84 -82.904 -82.968 -83.037 -83.118 -83.208 -83.304 -83.387 -83.438 -83.462 -83.467 -83.462 -83.457 -83.458 -83.468 -83.491 -83.528 -83.582 -83.656 -83.743 -83.837 -83.939 -84.049 -84.17 -84.302 -84.428 -84.524 -84.587 -84.621 -84.629 -84.616 -84.592 -84.566 -84.535
